OPTION CODE,LAND USE CODE,DESCRIPTION,,
AB13,AC89,CRESS,,
AB13,AC90,GLADIOLI,,
AB13,AC91,ECHIUM,,
AB13,AC92,SORGHUM,,
AB13,AC93,STICKY NIGHTSHADE,,
AB13,AC94,SWEET WILLIAMS,,
AB13,AC95,WALLFLOWER,,
AB13,AC96,SAMPHIRE,,
AB13,AC97,ASTER (CHINESE),,
AB13,AC98,LARKSPUR,,
AB13,AC99,NIGELLA,,
AB13,BF11,HALF HEDGE,,
AB13,BF15,BUFFER STRIP,,
AB13,CA01,CATCH CROP,,
AB13,CA02,COVER CROP,,
AB13,CW01,WATERCRESS,,
AB13,FA01,FALLOW,,
AB13,IW11,DRAIN/DITCH/DYKE ON A BOUNDARY,,
AB13,LG01,CHICKPEA,,
AB13,LG02,FENUGREEK,,
AB13,LG03,FIELD BEANS - SPRING,,
AB13,LG04,GREEN BEANS,,
AB13,LG05,LENTILS,,
AB13,LG06,LUPINS,,
AB13,LG07,PEAS - SPRING,,
AB13,LG08,SOYA,,
AB13,LG09,COWPEA,,
AB13,LG10,BIRD'S FOOT TREFOIL,,
AB13,LG11,LUCERNE,,
AB13,LG12,SWEET CLOVER,,
AB13,LG13,SAINFOIN,,
AB13,LG14,CLOVER,,
AB13,LG15,MIXED CROP - LEGUMINOUS ONLY 1,,
AB13,LG16,MIXED CROP - LEGUMINOUS ONLY 2,,
AB13,LG17,MIXED CROP - LEGUMINOUS ONLY 3,,
AB13,LG18,MIXED CROP - LEGUMINOUS ONLY 4,,
AB13,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
AB13,LG20,FIELD BEANS - WINTER,,
AB13,LG21,PEAS - WINTER,,
AB13,SA01,SERVICE AREA - UNCROPPED,,
AB13,TG01,TEMPORARY GRASS,,
AB14,ABS01,TEMPORARY GRASS BUFFER STRIP ,,
AB14,ABS02,SOWN MIXED COVER BUFFER STRIP ,,
AB14,ABS03,FALLOW BUFFER STRIP,,
AB14,AC01,BARLEY - SPRING,,
AB14,AC02,BASIL ,,
AB14,AC03,BEET ,,
AB14,AC04,BORAGE ,,
AB14,AC05,BUCKWHEAT ,,
AB14,AC06,CANARY SEED ,,
AB14,AC07,CARROT ,,
AB14,AC08,CELERY ,,
AB14,AC09,CHICORY ,,
AB14,AC10,DAFFODIL ,,
AB14,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
AB14,AC11,DILL ,,
AB14,AC12,EVENING PRIMROSE ,,
AB14,AC13,FENNEL ,,
AB14,AC14,HEMP ,,
AB14,AC15,LETTUCE ,,
AB14,AC16,LINSEED - SPRING,,
AB14,AC17,MAIZE ,,
AB14,AC18,MILLET ,,
AB14,AC19,OATS - SPRING,,
AB14,AC20,ONIONS ,,
AB14,AC200,TEMPORARY ARABLE LAND USE CODE,,
AB14,AC21,OREGANO ,,
AB14,AC22,PARSLEY ,,
